X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,Y (output)
15,15,3,3,3.5,7.9,180,1125,2025,0.55,75,75,330,130
26,15,4,3,3,10.2,390,2325,4680,0.49,89.42,178.84,360,133
14,4,3,3,3,5.4,56,116.76,504,0.23,8.34,8.34,330,116
46,11.17320189,3,2.5,3,13.1,312,1450,2340,0.61,31.52,63.04,480,112
42,7,3,2.6,3,11.5,294,1150,2293.2,0.5,27.32,54.76,380,116
29,15,3.5,3,3,10.7,435,1150,4567.5,0.25,39.65,79.3,460,122
38,15,3.5,3,3,10.7,600,2825,6300,0.44,74.34,148.34,480,120
28,15,3.5,3,3,10.7,420,2150,4410,0.48,76.78,153.56,480,131
24,15,3,3,3.5,10.7,360,1811.1,3240,0.55,75.4625,75.4625,410,122
32,11.19850641,3.5,3,3,10.7,457.6,2075,4804.8,0.43,64.84,129.68,480,122
43,6,3,2.5,3,10.7,258,900,1935,0.46,20.9,41.8,430,122
55,11.18674508,3,2.5,3,10.7,410,1575,3075,0.51,28.63,57.26,440,122
38,15,3.5,3,3,10.7,570,3600,5985,0.6,94.73,189.46,520,122
62,11.1953335,3.5,3,3,10.7,948,5350,9954,0.53,86.29,172.58,510,118
6,15,3,3,3,10.7,90,500,810,0.62,83.4,83.4,620,118
60,15,3.5,3,3,10.7,900,4950,9450,0.52,82.5,165,390,118
85,7,3,2.5,3,10.7,595,2475,4462.5,0.55,29.12,58.22,360,118
12,5,1.5,1.5,3,10.7,60,175,135,0.55,29.12,29.16,290,123
25,9,3,3,3,10.7,225,1275,2025,0.55,29.12,102,560,116
12,14.5,3,3,3,10.7,174,1000,1566,0.55,29.12,83.33,330,126
26,22,4,3,3,10.7,572,3750,6864,0.55,29.12,144.23,420,106
83,6.78,3,2.5,3,10.7,562.74,2625,4220.55,0.55,29.12,175.12,380,118
64,15,3.5,3,3,10.7,960,6250,10080,0.55,29.12,195.3,330,122
95,14.8947,3.5,3,3,10.7,1414.9965,9250,14857.463,0.55,29.12,194.72,460,128
92,5.565,2.75,2.5,3,10.7,511.98,1925,3519.8625,0.55,29.12,64.5,360,122
70,6.5714,3,2.5,3,10.7,459.998,2000,3449.985,0.55,29.12,57.14,320,122
109,7.389,3,2.5,3,10.7,805.401,3750,6040.5075,0.55,29.12,68.8,300,125
46,15,4,3,3,14.2,690,4350,8280,0.55,29.12,189.13,320,130
85,11.19961548,3,2.5,3,15,625,2875,4687.5,0.61,29.12,67.64,340,120
43,11.19961548,3.3,3,3,12.70,583,3800,5791.5,0.65,29.12,176.74,420,129
26,6,3.5,3,3,13,156,675,1638,0.412087912,29.12,51.92,410,120
38,15,4,3,3,12.6,570,3775,6840,0.55,29.12,99.34,280,125
37,20,3.4,3.2,3,12.6,740,5225,8051.2,0.64,29.12,282.42,385,124
90,11.21556624,3,2.5,3,16,600,2600,4500,0.57,29.12,57.76,340,118
146,11.21556624,4,3,3,33.4,2422,14350,29064,0.49,29.12,196.56,400,100
36,5,3,2.5,2.5,9.8,180,625,1350,0.46,29.12,34.72,430,130
37,25,4,3,3,14.4,925,6500,11100,0.58,29.12,175.67,378,135
110,7,3,2.5,3,25.1,770,3600,5775,0.62,29.12,65.44,370,123
11,7,3,2.5,3,5.3,77,375,577.5,0.64,29.12,68.18,350,123
32,11.21373164,3,2.5,3,10.3,167,625,1108,0.56,29.12,39.06,390,106
130,7,3,2.5,3,29.1,910,3675,6825,0.3,29.12,56.52,340,120
49,6,3,2.5,3,12.7,294,1075,2205,0.48,29.12,43.86,360,130
56,11.19380043,3.5,3,3,15.3,425,1900,4462,0.42,29.12,67.85,460,116
70,11,3.2,3,3,18.0,770,3875,7392,0.52,29.12,110.7,370,136
70,16,3.5,3,3,19.1,1120,7075,11760,0.6,101.07,202.14,410,128
62,7,3,2.5,3,15.5,434,2350,3255,0.72,37.9,75.8,290,132
64,11.19467799,3,3,2.5,16.7,483,2450,4347,0.56,38.28,76.56,430,106
20,4.5,3,2.5,2.5,6.5,90,300,675,0.44,15,30,510,110
18,16,3,3,3,8.6,288,1375,2592,0.53,76.38,152.77,320,126
33,6,3,2.5,3,9.5,198,850,1485,0.57,25.75,51.5,660,126
58,6,3,2.5,3,14.5,348,1450,2610,0.55,25,50,320,127
140,7,3,2.5,3,31.1,980,3800,7350,0.51,27.14,54.28,260,118
